City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Avera,US,33.194,-82.5271,69.55,94,100,17.72,overcast clouds
335,Gallup,US,35.5281,-108.7426,18.36,86,0,0.0,clear sky
336,Lugovoy,KZ,42.9472,72.7644,41.25,54,20,2.42,few clouds
337,Margate,GB,51.3813,1.3862,60.12,80,69,4.0,broken clouds
338,Puerto Madryn,AR,-42.7692,-65.0385,55.04,70,31,3.15,scattered clouds
339,Buta,CD,2.7858,24.73,80.96,68,99,2.71,light rain
340,Touros,BR,-5.1989,-35.4608,85.91,53,94,11.32,overcast clouds
341,Miles City,US,46.4083,-105.8406,-13.83,99,0,3.44,mist
342,Siocon,PH,7.7061,122.1353,80.53,84,97,3.94,light rain
343,Asau,RO,46.4333,26.4,51.28,60,88,6.51,overcast clouds
344,Bereda,ES,43.2686,-7.5406,63.57,57,2,3.24,clear sky
345,Ortona,IT,42.3496,14.4039,65.46,75,94,13.67,overcast clouds
346,Kongolo,CD,-5.3833,27.0,81.93,64,99,3.58,light rain
347,Saint Paul,US,44.9444,-93.0933,27.88,76,100,13.8,overcast clouds
348,Kondinskoye,RU,59.6481,67.41,32.76,98,100,13.94,overcast clouds
349,Pitimbu,BR,-7.4706,-34.8086,79.39,66,88,9.31,overcast clouds
350,Leningradskiy,RU,69.3833,178.4167,7.61,96,100,11.05,light snow
351,Den Helder,NL,52.9599,4.7593,57.18,89,75,21.0,broken clouds
352,Parfenyevo,RU,58.484,43.4088,44.1,98,100,6.62,overcast clouds
353,Nabire,ID,-3.3667,135.4833,77.29,87,87,2.51,overcast clouds
354,Rantepao,ID,-2.9701,119.8978,68.58,97,100,1.81,overcast clouds
355,Kushmurun,KZ,52.4503,64.6311,35.62,94,100,16.58,overcast clouds
356,Palenque,MX,17.5167,-91.9667,68.18,91,6,2.89,clear sky
357,Tapes,BR,-30.6733,-51.3958,69.03,76,100,9.24,light rain
358,Tautira,PF,-17.7333,-149.15,75.83,83,100,4.72,light rain
359,Matagami,CA,49.7502,-77.6328,30.31,93,100,8.05,heavy snow
360,Immokalee,US,26.4187,-81.4173,73.9,94,49,5.32,scattered clouds
361,Xinyu,CN,27.8043,114.9334,78.46,47,29,3.11,scattered clouds
362,Bathsheba,BB,13.2167,-59.5167,83.01,78,20,16.11,few clouds
363,Aykhal,RU,66.0,111.5,-8.54,94,100,10.54,overcast clouds
364,Mehamn,NO,71.0357,27.8492,35.55,87,75,8.05,light rain
365,San Quintin,MX,30.4833,-115.95,57.43,58,94,2.95,overcast clouds
366,Owando,CG,-0.4819,15.8999,82.58,68,43,2.01,light rain
367,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,69,100,5.14,overcast clouds
368,Itoman,JP,26.1247,127.6694,77.02,92,75,19.57,light rain
369,Ergani,TR,38.2653,39.7621,57.45,50,9,3.0,clear sky
370,Gushikawa,JP,26.3544,127.8686,76.23,91,75,19.57,light rain
371,Mizdah,LY,31.4451,12.9801,69.91,42,41,8.41,scattered clouds
372,Manokwari,ID,-0.8667,134.0833,80.2,81,100,4.61,overcast clouds
373,Cavalcante,BR,-13.7975,-47.4583,82.44,54,99,2.57,heavy intensity rain
374,Tanete,ID,-3.9443,119.7848,76.48,95,100,0.67,overcast clouds
375,Cervo,ES,43.6702,-7.4101,64.26,61,0,2.26,clear sky
376,Vestmanna,FO,62.1564,-7.1664,49.12,87,75,11.5,light rain
377,Mikhaylovskoye,RU,51.8239,79.7172,30.22,96,98,11.77,light snow
378,Moerai,PF,-22.4333,-151.3333,69.94,73,100,14.41,overcast clouds
379,Sakakah,SA,29.9697,40.2064,80.17,35,53,8.37,broken clouds
